target_size,density,has_buffer,has_background,duration,peak_memory
10,10,True,True,0:00:55.124000,2.6
10,100,True,True,0:01:18.373000,3.6
10,450,True,True,0:02:08.664000,6.6
10,1000,True,True,0:02:46.835000,10.9
